Subject_ID,Group,Trial_Num,Segment_Num,N_Points,Duration_s,Peak_Velocity,Mean_Velocity,N_Submovements,SPARC
02,Aged_Control,1,83,125,3.719,932.4400487132937,115.58157548219705,5,-1.7331652846905574
02,Aged_Control,1,84,117,3.48,830.3279138054096,133.37430927046134,16,-1.7389958714089624
02,Aged_Control,1,85,137,4.08,984.603699182794,104.82011753248965,5,-1.8044956980172984
02,Aged_Control,1,86,128,3.81,816.8367169895224,118.62967984421297,17,-1.824350367440703
02,Aged_Control,1,87,199,5.94,857.9691784155815,85.96022911486428,24,-2.2876347612009313
02,Aged_Control,1,88,149,4.44,956.4111156935702,101.82493600309742,12,-1.9625637788502035
02,Aged_Control,1,89,147,4.38,1155.3017883748892,114.85907359750648,11,-2.173373947135645
02,Aged_Control,1,90,147,4.38,850.1633829904566,100.37843081438274,9,-1.950021230854607
03,Aged_Control,1,1,85,2.52,1153.015370428532,286.7863056108103,6,-1.8802039723828492
03,Aged_Control,1,2,59,1.74,2666.7187494913865,463.56926804145957,4,-1.6421262677494899
03,Aged_Control,1,3,69,2.04,2089.9893673307397,364.963797759565,3,-1.5400757187501615
03,Aged_Control,1,4,60,1.77,2897.9398812873187,436.57712408194226,4,-1.3858662555404742
03,Aged_Control,1,5,59,1.74,2582.2578406417015,448.9746055033496,5,-1.7175034038199575
03,Aged_Control,1,6,62,1.83,2921.424690493018,397.7062850387203,4,-1.5377074861012618
03,Aged_Control,1,7,70,2.07,2935.652492301424,443.07845792588824,5,-1.7938883757634068
03,Aged_Control,1,8,72,2.13,2875.6641744898593,366.7713026360434,4,-1.4688336927278214
03,Aged_Control,1,9,65,1.92,1968.7841707792948,385.90382706185966,7,-1.6692511259832357
03,Aged_Control,1,10,61,1.8,3068.1608678671187,423.33439128226223,3,-1.6645443681877978
03,Aged_Control,1,11,85,2.52,1844.6619684315576,283.12686523343166,6,-1.7191430742215374
03,Aged_Control,1,12,62,1.83,3401.1844342163404,433.39598225667146,2,-1.4829128469055786
03,Aged_Control,1,13,63,1.86,2454.134832843901,400.1362495061693,4,-1.6769727447895952
03,Aged_Control,1,14,79,2.34,3777.1976678778924,409.12941134249655,4,-1.5980736915206994
03,Aged_Control,1,15,73,2.16,2904.4984267702903,378.4867281481673,4,-1.6623836488366477
03,Aged_Control,1,16,71,2.1,2255.4871363459874,335.4283232998623,4,-1.6519793348418732
03,Aged_Control,1,17,76,2.25,2408.3189157584593,314.39822301393787,4,-1.507130957049617
03,Aged_Control,1,18,64,1.89,3460.290610788508,368.1994765705341,2,-1.430483801246814
03,Aged_Control,1,19,77,2.28,2333.868986135348,310.65279369583186,4,-1.7637405905883237
03,Aged_Control,1,20,75,2.22,3383.374383987414,338.69748756823344,4,-1.6234091174857075
03,Aged_Control,1,21,181,5.4,1782.9438827088486,144.14729667007003,10,-1.7737957563150082
03,Aged_Control,1,22,115,3.42,2724.0186816132154,286.05278396723105,12,-1.7276348205469858
03,Aged_Control,1,23,86,2.55,2065.1203892805443,283.9840984718129,4,-1.66627374962935
03,Aged_Control,1,24,129,3.84,2851.9973507857385,196.72147372909723,4,-1.5741337088189842
03,Aged_Control,1,25,111,3.3,2439.546861384072,233.84305393556068,5,-1.6652206900927724
